item_id,city,quality,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date,buy_price_min,buy_price_min_date,buy_price_max,buy_price_max_date
T4_ORE_LEVEL2@2,Thetford,1,595,2023-09-26T15:35:00,639,2023-09-26T15:35:00,,,,
T4_ORE_LEVEL3@3,Bridgewatch,1,4101,2023-09-26T16:45:00,4101,2023-09-26T16:45:00,3800,2023-09-26T16:45:00,3800,2023-09-26T16:45:00
T4_ORE_LEVEL3@3,Fort Sterling,1,4172,2023-09-26T21:00:00,4458,2023-09-26T21:00:00,4116,2023-09-26T21:05:00,4116,2023-09-26T21:05:00
T4_ORE_LEVEL3@3,Lymhurst,1,4671,2023-09-26T20:15:00,4725,2023-09-26T20:15:00,3,2023-09-26T20:15:00,4209,2023-09-26T20:15:00
T4_ORE_LEVEL3@3,Martlock,1,4415,2023-09-26T22:55:00,4438,2023-09-26T22:55:00,3,2023-09-26T19:25:00,4230,2023-09-26T19:25:00
T4_ORE_LEVEL3@3,Thetford,1,4865,2023-09-26T13:25:00,4916,2023-09-26T13:25:00,,,,
T4_ORE_LEVEL4@4,Bridgewatch,1,49952,2023-09-26T20:45:00,49982,2023-09-26T20:45:00,,,,
T4_ORE_LEVEL4@4,Fort Sterling,1,46993,2023-09-26T06:40:00,48979,2023-09-26T06:40:00,3,2023-09-26T06:40:00,43735,2023-09-26T06:40:00
T4_ORE_LEVEL4@4,Lymhurst,1,,,,,,,,
T4_ORE_LEVEL4@4,Martlock,1,50000,2023-09-26T22:55:00,60000,2023-09-26T22:55:00,3,2023-09-26T21:20:00,45710,2023-09-26T21:20:00
T4_ORE_LEVEL4@4,Thetford,1,51009,2023-09-26T21:15:00,57794,2023-09-26T21:15:00,3,2023-09-26T21:15:00,45960,2023-09-26T21:15:00
T4_PLANKS,Bridgewatch,1,181,2023-09-26T17:20:00,199,2023-09-26T17:20:00,,,,
T4_PLANKS,Fort Sterling,1,187,2023-09-27T00:25:00,203,2023-09-27T00:25:00,108,2023-09-26T23:05:00,167,2023-09-26T23:05:00
T4_PLANKS,Lymhurst,1,181,2023-09-27T00:25:00,181,2023-09-27T00:25:00,177,2023-09-27T00:25:00,177,2023-09-27T00:25:00
T4_PLANKS,Martlock,1,176,2023-09-26T19:40:00,395,2023-09-26T19:40:00,166,2023-09-26T19:45:00,169,2023-09-26T19:45:00
T4_PLANKS,Thetford,1,161,2023-09-26T23:05:00,175,2023-09-26T23:05:00,3,2023-09-26T14:30:00,159,2023-09-26T14:30:00
T4_PLANKS_LEVEL1@1,Bridgewatch,1,260,2023-09-26T23:10:00,385,2023-09-26T23:10:00,3,2023-09-26T23:05:00,200,2023-09-26T23:05:00
T4_PLANKS_LEVEL1@1,Fort Sterling,1,289,2023-09-27T00:30:00,289,2023-09-27T00:30:00,3,2023-09-27T00:25:00,241,2023-09-27T00:25:00
T4_PLANKS_LEVEL1@1,Lymhurst,1,462,2023-09-27T00:45:00,650,2023-09-27T00:45:00,3,2023-09-27T00:50:00,252,2023-09-27T00:50:00
T4_PLANKS_LEVEL1@1,Martlock,1,275,2023-09-26T22:55:00,579,2023-09-26T22:55:00,3,2023-09-26T22:55:00,235,2023-09-26T22:55:00
T4_PLANKS_LEVEL1@1,Thetford,1,264,2023-09-26T23:05:00,612,2023-09-26T23:05:00,3,2023-09-26T23:05:00,214,2023-09-26T23:05:00
T4_PLANKS_LEVEL2@2,Bridgewatch,1,651,2023-09-26T05:00:00,651,2023-09-26T05:00:00,,,,
T4_PLANKS_LEVEL2@2,Fort Sterling,1,575,2023-09-26T16:30:00,2992,2023-09-26T16:30:00,530,2023-09-26T18:45:00,530,2023-09-26T18:45:00
T4_PLANKS_LEVEL2@2,Lymhurst,1,650,2023-09-26T17:10:00,880,2023-09-26T17:10:00,3,2023-09-26T11:15:00,605,2023-09-26T11:15:00
T4_PLANKS_LEVEL2@2,Martlock,1,615,2023-09-27T00:10:00,683,2023-09-27T00:10:00,1,2023-09-27T00:10:00,534,2023-09-27T00:10:00
